studentId,courseCode,day,period,roomNumber
60,MADR 3002,T,5,Room 2
60,MADR 3002,TH,5,Room 2
60,MADR 3031,M,7,Room 2
60,MADR 3031,T,7,Room 2
60,MADR 3031,TH,7,Room 2
60,MADR 3031,W,7,Room 2
60,MADR 3206,M,7,Room 9
60,MADR 3206,T,7,Room 9
60,MADR 3206,TH,7,Room 9
60,MADR 3206,W,7,Room 9
60,MADR 4901,T,5,Room 9
60,MADR 4901,TH,5,Room 9
61,MADR 1001,M,8,Room 2
61,MADR 1001,W,8,Room 2
61,MADR 3002,T,5,Room 2
61,MADR 3002,TH,5,Room 2
61,MADR 3012,M,1,Room 7
61,MADR 3012,T,1,Room 7
61,MADR 3012,TH,1,Room 7
61,MADR 3012,W,1,Room 7
61,MADR 3021,T,5,Room 7
62,MADR 3012,M,1,Room 7
62,MADR 3012,T,1,Room 7
62,MADR 3012,TH,1,Room 7
62,MADR 3012,W,1,Room 7
62,MADR 3017,T,2,Room 2
62,MADR 3017,TH,2,Room 2
62,MADR 3024,M,2,Room 2
62,MADR 3024,W,2,Room 2
62,MADR 3301,T,2,Room 1
62,MADR 3301,TH,2,Room 1
63,MADR 3021,T,5,Room 7
63,MADR 3025,M,7,Room 7
63,MADR 3025,T,7,Room 7
63,MADR 3025,TH,7,Room 7
63,MADR 3025,W,7,Room 7
63,MADR 3301,T,2,Room 1
63,MADR 3301,TH,2,Room 1
63,MADR 3711,T,1,Room 1
63,MADR 3711,TH,1,Room 1
64,MADR 3012,M,1,Room 7
64,MADR 3012,T,1,Room 7
64,MADR 3012,TH,1,Room 7
64,MADR 3012,W,1,Room 7
64,MADR 3013,M,7,Room 5
64,MADR 3013,T,7,Room 5
64,MADR 3013,TH,7,Room 5
64,MADR 3013,W,7,Room 5
64,MADR 3024,M,2,Room 2
64,MADR 3024,W,2,Room 2
64,MADR 3027,M,6,Room 2
64,MADR 3027,T,6,Room 2
64,MADR 3027,TH,6,Room 2
64,MADR 3027,W,6,Room 2
65,MADR 1001,M,8,Room 2
65,MADR 1001,W,8,Room 2
65,MADR 3006,M,2,Room 7
65,MADR 3006,W,2,Room 7
65,MADR 3014,T,2,Room 7
65,MADR 3014,TH,2,Room 7
65,MADR 3711,T,1,Room 1
65,MADR 3711,TH,1,Room 1
66,MADR 3001,T,5,Room 3
66,MADR 3001,TH,5,Room 3
66,MADR 3008,T,6,Room 3
66,MADR 3008,TH,6,Room 3
66,MADR 3012,M,1,Room 7
66,MADR 3012,T,1,Room 7
66,MADR 3012,TH,1,Room 7
66,MADR 3012,W,1,Room 7
66,MADR 4511W,M,7,Room 3
66,MADR 4511W,W,7,Room 3
67,MADR 3001,T,5,Room 3
67,MADR 3001,TH,5,Room 3
67,MADR 3014,T,2,Room 7
67,MADR 3014,TH,2,Room 7
67,MADR 3019,TH,6,Room 7
67,MADR 3206,M,7,Room 9
67,MADR 3206,T,7,Room 9
67,MADR 3206,TH,7,Room 9
67,MADR 3206,W,7,Room 9
68,MADR 3017,T,2,Room 2
68,MADR 3017,TH,2,Room 2
68,MADR 3018,T,5,Room 5
68,MADR 3018,TH,5,Room 5
68,MADR 3021,T,5,Room 7
68,MADR 4901,T,5,Room 9
68,MADR 4901,TH,5,Room 9
69,MADR 3017,T,2,Room 2
69,MADR 3017,TH,2,Room 2
69,MADR 3024,M,2,Room 2
69,MADR 3024,W,2,Room 2
69,MADR 3026,M,6,Room 5
69,MADR 3026,T,6,Room 5
69,MADR 3026,TH,6,Room 5
69,MADR 3026,W,6,Room 5
69,MADR 3604,M,1,Room 5
69,MADR 3604,W,1,Room 5
70,MADR 3017,T,2,Room 2
70,MADR 3017,TH,2,Room 2
70,MADR 3021,T,5,Room 7
70,MADR 3023,M,7,Room 1
70,MADR 3023,T,7,Room 1
70,MADR 3023,TH,7,Room 1
70,MADR 3023,W,7,Room 1
70,MADR 4901,T,5,Room 9
70,MADR 4901,TH,5,Room 9
71,MADR 1001,M,8,Room 2
71,MADR 1001,W,8,Room 2
71,MADR 3002,T,5,Room 2
71,MADR 3002,TH,5,Room 2
71,MADR 3014,T,2,Room 7
71,MADR 3014,TH,2,Room 7
71,MADR 3021,T,5,Room 7
72,MADR 3006,M,2,Room 7
72,MADR 3006,W,2,Room 7
72,MADR 3012,M,1,Room 7
72,MADR 3012,T,1,Room 7
72,MADR 3012,TH,1,Room 7
72,MADR 3012,W,1,Room 7
72,MADR 3017,T,2,Room 2
72,MADR 3017,TH,2,Room 2
72,MADR 3021,T,5,Room 7
72,MADR 3301,T,2,Room 1
72,MADR 3301,TH,2,Room 1
73,MADR 1003,T,8,Room 3
73,MADR 1003,TH,8,Room 3
73,MADR 3008,T,6,Room 3
73,MADR 3008,TH,6,Room 3
73,MADR 3301,T,2,Room 1
73,MADR 3301,TH,2,Room 1
74,MADR 3001,T,5,Room 3
74,MADR 3001,TH,5,Room 3
74,MADR 3002,T,5,Room 2
74,MADR 3002,TH,5,Room 2
74,MADR 3014,T,2,Room 7
74,MADR 3014,TH,2,Room 7
74,MADR 3021,T,5,Room 7
75,MADR 3024,M,2,Room 2
75,MADR 3024,W,2,Room 2
75,MADR 3025,M,7,Room 7
75,MADR 3025,T,7,Room 7
75,MADR 3025,TH,7,Room 7
75,MADR 3025,W,7,Room 7
75,MADR 3031,M,7,Room 2
75,MADR 3031,T,7,Room 2
75,MADR 3031,TH,7,Room 2
75,MADR 3031,W,7,Room 2
75,MADR 3301,T,2,Room 1
75,MADR 3301,TH,2,Room 1
76,MADR 1001,M,8,Room 2
76,MADR 1001,W,8,Room 2
76,MADR 3019,TH,6,Room 7
76,MADR 3025,M,7,Room 7
76,MADR 3025,T,7,Room 7
76,MADR 3025,TH,7,Room 7
76,MADR 3025,W,7,Room 7
76,MADR 3206,M,7,Room 9
76,MADR 3206,T,7,Room 9
76,MADR 3206,TH,7,Room 9
76,MADR 3206,W,7,Room 9
